dataset/networks/random/0.5,16,ours,5032364125.016503
dataset/networks/random/0.1,16,ours,5963099819.339617
dataset/networks/random/0.05,16,scipy,359640084.4597755
dataset/networks/random/0.05,16,pytorch,441360039.1994747
dataset/networks/random/0.05,16,ours,4221437328.13162
dataset/networks/random/0.01,16,scipy,181085953.07839885
dataset/networks/random/0.01,16,pytorch,680565222.0883893
dataset/networks/random/0.01,16,ours,3320080370.306677
dataset/networks/radix,16,pytorch,1863868478.2662094
dataset/networks/radix,16,scipy,1538861908.127519
dataset/networks/radix,16,ours,6592532973.453867
dataset/networks/radix,2,scipy,404619483.984744
dataset/networks/radix,2,pytorch,2013816617.1533322
dataset/networks/radix,2,ours,2773931148.3441834
dataset/networks/radix,4,scipy,539908175.108142
dataset/networks/radix,4,pytorch,1951986039.91334
dataset/networks/radix,4,ours,4063230525.6841288
dataset/networks/radix,8,scipy,868109101.591027
dataset/networks/radix,8,pytorch,1888440574.933555
dataset/networks/radix,8,ours,5989047509.67056
dataset/networks/radix,120,scipy,4427071919.333762
dataset/networks/radix,120,ours,6221267010.202066
