459345953,,L1-dcache-load-misses:u,0.89%,4108120714,100.00,8.42,of all L1-dcache accesses,radix,2,GO
5455813082,,L1-dcache-loads:u,0.00%,4116919433,100.00,,,radix,2,None
459927619,,L1-dcache-load-misses:u,0.23%,4116919433,100.00,8.43,of all L1-dcache accesses,radix,2,None
7081220443,,L1-dcache-loads:u,0.00%,4580514343,100.00,,,radix,4,GO
772579151,,L1-dcache-load-misses:u,1.39%,4580514343,100.00,10.91,of all L1-dcache accesses,radix,4,GO
7079682922,,L1-dcache-loads:u,0.00%,4582487910,100.00,,,radix,4,None
762569457,,L1-dcache-load-misses:u,1.34%,4582487910,100.00,10.77,of all L1-dcache accesses,radix,4,None
10329278937,,L1-dcache-loads:u,0.01%,5645002396,100.00,,,radix,8,GO
1271980987,,L1-dcache-load-misses:u,1.37%,5645002396,100.00,12.32,of all L1-dcache accesses,radix,8,GO
10327685252,,L1-dcache-loads:u,0.01%,5886573538,100.00,,,radix,8,None
1347610489,,L1-dcache-load-misses:u,0.69%,5886573538,100.00,13.05,of all L1-dcache accesses,radix,8,None
16827434125,,L1-dcache-loads:u,0.00%,7623361078,100.00,,,radix,16,GO
1654804288,,L1-dcache-load-misses:u,2.21%,7623361078,100.00,9.83,of all L1-dcache accesses,radix,16,GO
16841761315,,L1-dcache-loads:u,0.01%,8386968585,100.00,,,radix,16,None
2553651340,,L1-dcache-load-misses:u,1.51%,8386968585,100.00,15.17,of all L1-dcache accesses,radix,16,None
